genomes,Total_COGs
Pseudomonas_aeruginosa_S20b_6800,1451
Pseudomonas_aeruginosa_S21a_6840,1458
Pseudomonas_aeruginosa_S25b-2_5878,1457
Pseudomonas_aeruginosa_S30a_6429,1447
Pseudomonas_aeruginosa_S8b-1_6625,1456
Pseudomonas_aeruginosa_S8b-3_5901,1456
Pseudomonas_aeruginosa_SJTD-1,1447
Pseudomonas_aeruginosa_SJU-S6_1_5859,1452
Pseudomonas_aeruginosa_SJU-S6_2_6052,1456
Pseudomonas_aeruginosa_SJU-S6_3_6336,1454
Pseudomonas_aeruginosa_SJU-S72_1_6042,1466
Pseudomonas_aeruginosa_SJU-S72_2_6701,1466
Pseudomonas_aeruginosa_SJU-S72_3_6909,1466
Pseudomonas_aeruginosa_SJU-S79_1_6123,1465
Pseudomonas_aeruginosa_SJU-S79_2_6315,1464
Pseudomonas_aeruginosa_SJU-S79_3_6029,1464
Pseudomonas_aeruginosa_SJU-S9_1_7292,1455
Pseudomonas_aeruginosa_SJU-S9_2_6158,1453
Pseudomonas_aeruginosa_SJU-S9_3_6561,1454
Pseudomonas_aeruginosa_XMG,1456
Pseudomonas_alcaliphila_34,1366
Pseudomonas_alkylphenolia_KL28_2901,1350
Pseudomonas_asplenii_ES_FE-G7,1397
Pseudomonas_asplenii_ES_PA-B6,1403
Pseudomonas_asplenii_ES_PA-B8,1400
Pseudomonas_asplenii_ES_PA-E7,1403
Pseudomonas_azotoformans_P45A_9377,1410
Pseudomonas_azotoformans_S4,1433
Pseudomonas_benzenivorans_DSM_8628,1330
Pseudomonas_brassicacearum_36B7_11350,1374
Pseudomonas_brassicacearum_36D4_11351,1393
Pseudomonas_brassicacearum_37D10_11354,1387
Pseudomonas_brassicacearum_38D4_11358,1407
Pseudomonas_brassicacearum_38D7_11357,1377
Pseudomonas_brassicacearum_48H11_11356,1378
Pseudomonas_brassicacearum_93F8_11353,1386
Pseudomonas_brassicacearum_Delaware_11352,1395
Pseudomonas_brassicacearum_Wood1_11355,1389
Pseudomonas_brassicacearum_Wood3_11349,1387
Pseudomonas_canadensis_36C8_7372,1392
Pseudomonas_caspiana_OWC3_9453,1424
Pseudomonas_chloritidismutans_isolate_BICA1-14_9500,1385
Pseudomonas_chlororaphis_189,1423
Pseudomonas_chlororaphis_48B8_7522,1408
Pseudomonas_chlororaphis_48G9_7524,1390
Pseudomonas_chlororaphis_ATCC_17415_7537,1427
Pseudomonas_chlororaphis_isolate_189_4023,1416
Pseudomonas_chlororaphis_JK12,1417
Pseudomonas_chlororaphis_Lzh-T5_6478,1434
Pseudomonas_chlororaphis_O6,1435
Pseudomonas_chlororaphis_subsp_aureofaciens_ChPhzS23_7547,1470
Pseudomonas_chlororaphis_subsp_aureofaciens_ChPhzS24_7548,1443
Pseudomonas_chlororaphis_subsp_piscium_ChPhzS135_7532,1431
Pseudomonas_chlororaphis_subsp_piscium_ChPhzS140_7533,1442
Pseudomonas_chlororaphis_subsp_piscium_SLPH10_7528,1440
Pseudomonas_chlororaphis_UFB2_isolate_Soil_2921,1388
Pseudomonas_chlororaphis_yangyueP9,1414
Pseudomonas_citronellolis_DSM_50332_7662,1427
Pseudomonas_composti_LY1,1350
Pseudomonas_donghuensis_SVBP6_5836,1365
Pseudomonas_entomophila_1257_11436,1348
Pseudomonas_entomophila_2014_11435,1343
Pseudomonas_extremaustralis_USBA_515,1376
Pseudomonas_fluorescens_36F3_9405,1383
Pseudomonas_fluorescens_36G2_9406,1398
Pseudomonas_fluorescens_48D1_9408,1384
Pseudomonas_fluorescens_89F1_9411,1393
Pseudomonas_fluorescens_90D7A_9412,1396
Pseudomonas_fluorescens_90F12-2_9404,1397
Pseudomonas_fluorescens_BS2,1398
Pseudomonas_fluorescens_FW300-N2E3_1,1395
Pseudomonas_fluorescens_FW300-N2E3_2,1392
Pseudomonas_fluorescens_H16_2433,1399
Pseudomonas_fluorescens_HK44,1381
Pseudomonas_fluorescens_HKI0770,1397
Pseudomonas_fluorescens_HKI0874_9421,1399
Pseudomonas_fluorescens_HPB_6133,1394
Pseudomonas_fluorescens_KENGFT3_4030,1401
Pseudomonas_fluorescens_Pf275_9398,1399
Pseudomonas_fluorescens_R124,1389
Pseudomonas_fluorescens_SIK_W1_9399,1401
Pseudomonas_fluorescens_UM270_2952,1346
Pseudomonas_fragi_A22,1327
Pseudomonas_fragi_B25,1323
Pseudomonas_fragi_DBC,1296
Pseudomonas_frederiksbergensis_11-D3_5833,1392
Pseudomonas_frederiksbergensis_36C6_7576,1391
Pseudomonas_frederiksbergensis_37A10_7577,1429
Pseudomonas_frederiksbergensis_38F7_7579,1419
Pseudomonas_frederiksbergensis_39A2_7578,1423
Pseudomonas_frederiksbergensis_94G2_7575,1375
Pseudomonas_frederiksbergensis_AS1,1398
Pseudomonas_frederiksbergensis_KNU-15,1398
Pseudomonas_frederiksbergensis_OS210_1,1383
Pseudomonas_frederiksbergensis_OS210_3,1382
Pseudomonas_furukawaii_KF707,1377
Pseudomonas_hunanensis_P11_6881,1372
Pseudomonas_jessenii_EC-S101_9489,1389
Pseudomonas_kilonensis_ACN4_5772,1374
Pseudomonas_kilonensis_ACN7_6609,1378
Pseudomonas_kilonensis_ZKA7,1397
Pseudomonas_koreensis_D26,1408
Pseudomonas_kribbensis_46-2_5863,1384
Pseudomonas_kribbensis_CHA-19_7397,1390
Pseudomonas_lini_48C10_7506,1403
Pseudomonas_lini_ZBG1,1371
Pseudomonas_mandelii_OWC5_7502,1415
Pseudomonas_mendocina_NBRC_14162,1344
Pseudomonas_mendocina_NEB698_6722,1345
Pseudomonas_monteilii_B5_7409,1371
Pseudomonas_moorei_DSM_12647,1391
Pseudomonas_moraviensis_36B3_11568,1397
Pseudomonas_moraviensis_Devor,1393
Pseudomonas_moraviensis_VanB,1398
Pseudomonas_mosselii_WS2-TSB-10_7091,1353
Pseudomonas_nitroreducens_DF05_6670,1404
Pseudomonas_nitroreducens_DSM_9128_11587,1417
Pseudomonas_parafulva_JBCS1880_7373,1330
Pseudomonas_plecoglossicida_KCJK7865_6219,1356
Pseudomonas_plecoglossicida_ZKA3,1377
Pseudomonas_prosekii_P2406_6363,1356
Pseudomonas_protegens_38G2_11370,1398
Pseudomonas_protegens_Clinton_11373,1403
Pseudomonas_protegens_Darke_11374,1413
Pseudomonas_protegens_H1F10A,1406
Pseudomonas_protegens_H1F10B,1407
Pseudomonas_protegens_H78,1423
Pseudomonas_protegens_PF-1_11380,1405
Pseudomonas_protegens_Wayne_11375,1401
Pseudomonas_pseudoalcaligenes_KF707_363,1380
Pseudomonas_psychrophila_L1010_3872,1347
Pseudomonas_putida_16YSM-E48,1370
Pseudomonas_putida_1A00316,1358
Pseudomonas_putida_ASAD_5181,1394
Pseudomonas_putida_B001,1357
Pseudomonas_putida_B4_11524,1376
Pseudomonas_putida_CBF10-2,1357
Pseudomonas_putida_CSV86,1359
Pseudomonas_putida_DLL-E4,1364
Pseudomonas_putida_DRA525,1374
Pseudomonas_putida_II-2_11530,1359
Pseudomonas_putida_JB_5306,1371
Pseudomonas_putida_JR16_11531,1325
Pseudomonas_putida_KB3_11533,1353
Pseudomonas_putida_KT2440_110,1385
Pseudomonas_putida_NA-1,1363
Pseudomonas_putida_NCTC7914_7232,1356
Pseudomonas_putida_NX-1_7316,1356
Pseudomonas_putida_S12,1374
Pseudomonas_putida_S13.1.2,1402
Pseudomonas_putida_SJTE-1,1360
Pseudomonas_putida_YKD221,1367
Pseudomonas_putida_ZKA37,1369
Pseudomonas_resinovorans_DSM_21078,1356
Pseudomonas_rhodesiae_88A6_9496,1376
Pseudomonas_rhodesiae_90F12-1_9497,1378
Pseudomonas_sp_1_R_17_isolate_1_R_17_4069,1405
Pseudomonas_sp._2_2015_,1375
Pseudomonas_sp._24_E_13,1363
Pseudomonas_sp._24_E_1,1383
Pseudomonas_sp._25_E_4,1334
Pseudomonas_sp._25_R_14,1384
Pseudomonas_sp._28_E_9,1363
Pseudomonas_sp_2-92_650,1394
Pseudomonas_sp_31-12_6298,1413
Pseudomonas_sp._31_E_5,1383
Pseudomonas_sp._31_E_6,1380
Pseudomonas_sp._31_R_17,1358
Pseudomonas_sp._34_E_7,1372
Pseudomonas_sp._35_E_8,1389
Pseudomonas_sp._37_R_15,1381
Pseudomonas_sp._44_R_15,1373
Pseudomonas_sp._52_E_6,1376
Pseudomonas_sp._58_R_12,1376
Pseudomonas_sp_58_R_3_isolate_58_R_3_4087,1404
Pseudomonas_sp._5,1363
Pseudomonas_sp_8_R_14_isolate_8_R_14_4088,1400
Pseudomonas_sp_A25_5390,1369
Pseudomonas_sp._A25,1373
Pseudomonas_sp_A46_7196,1383
Pseudomonas_sp_ACN5_6542,1394
Pseudomonas_sp_ACN8_6715,1364
Pseudomonas_sp_ADP_3736,1435
Pseudomonas_sp_ATCC_13985_7671,1425
Pseudomonas_sp_ATCC_43928_11591,1396
Pseudomonas_sp_ATCC_PTA-122608_5149,1427
Pseudomonas_sp_B1_11426,1396
Pseudomonas_sp_Bc-h_6554,1405
Pseudomonas_sp_BICA1-14_isolate_BICA1-14_7500,1352
Pseudomonas_sp_BTN1_5555,1384
Pseudomonas_sp._C5pp,1359
Pseudomonas_sp._Chol1,1267
Pseudomonas_sp_DRA525_5548,1376
Pseudomonas_sp_DTU123_11429,1392
Pseudomonas_sp._ERMR1:02,1462
Pseudomonas_sp._Eur1_9.41,1384
Pseudomonas_sp_F01002_11347,1397
Pseudomonas_sp._H1D6A,1398
Pseudomonas_sp._H1F10D,1407
Pseudomonas_sp._H1F5C,1407
Pseudomonas_sp_H9_7518,1357
Pseudomonas_sp_HS-2_7676,1371
Pseudomonas_sp_JJ3_7245,1345
Pseudomonas_sp_K1S02-6_7496,1327
Pseudomonas_sp_KBS0707_9490,1370
Pseudomonas_sp_KBS0710_9380,1422
Pseudomonas_sp_KBS0802_11552,1384
Pseudomonas_sp_LAM1902_7862,1398
Pseudomonas_sp._Lz4W,1325
Pseudomonas_sp._M30-35,1313
Pseudomonas_sp_M7D1_7770,1396
Pseudomonas_sp_MDMC17_6773,1367
Pseudomonas_sp_MDMC216_6790,1368
Pseudomonas_sp_MDMC224_6683,1369
Pseudomonas_sp._MS586,1398
Pseudomonas_sp_MWU12-2115_7392,1389
Pseudomonas_sp_MWU12-2534b_11547,1398
Pseudomonas_sp_MWU13-2625_9384,1367
Pseudomonas_sp_MWU13-2860_7563,1378
Pseudomonas_sp_NC02_6131,1434
Pseudomonas_sp_NIBRBAC000502773_7385,1409
Pseudomonas_sp._P818,1346
Pseudomonas_sp_PAMC_29040_9450,1333
Pseudomonas_sp_phDV1_11361,1287
Pseudomonas_sp._PK,1312
Pseudomonas_sp._QTF5,1375
Pseudomonas_sp_RU47_11382,1398
Pseudomonas_sp_RW405_5874,1359
Pseudomonas_sp_S1E40_S1E40_4112,1398
Pseudomonas_sp_S1E44_7322,1397
Pseudomonas_sp._S3E7,1311
Pseudomonas_sp._S4B6,1359
Pseudomonas_sp._S4G9,1413
Pseudomonas_sp._S5F11,1374
Pseudomonas_sp._S9,1361
Pseudomonas_sp_Sample_11_7866,1399
Pseudomonas_sp_Sample_14_11582,1398
Pseudomonas_sp_Sample_16_11430,1375
Pseudomonas_sp_Sample_20_7375,1391
Pseudomonas_sp_Sample_21_11431,1390
Pseudomonas_sp_Sample_22_11580,1389
Pseudomonas_sp_Sample_23_7377,1394
Pseudomonas_sp_SCPG-7_6120,1383
Pseudomonas_sp_SMT-1_6901,1378
Pseudomonas_sp._SWI36,1371
Pseudomonas_sp._SWI6,1356
Pseudomonas_sp._SWI7,1296
Pseudomonas_sp_T3_7351,1255
Pseudomonas_sp_T_6534,1411
Pseudomonas_sp_TCU-HL1_TCU-HL1_4115,1348
Pseudomonas_sp._TCU-HL1,1348
Pseudomonas_sp_VI41_11343,1470
Pseudomonas_sp_ZH-FAD_7107,1375
Pseudomonas_stutzeri_24a13_6221,1324
Pseudomonas_stutzeri_24a75_6147,1295
Pseudomonas_stutzeri_28a3_5960,1300
Pseudomonas_stutzeri_DCP-Ps1_5433,1265
Pseudomonas_stutzeri_DSM_17088_5799,1315
Pseudomonas_stutzeri_DSM_50238_6083,1265
Pseudomonas_stutzeri_JM3000_DSM_10701,1281
Pseudomonas_stutzeri_LH-42_6289,1289
Pseudomonas_stutzeri_ODKF13,1318
Pseudomonas_stutzeri_RCH2,1321
Pseudomonas_stutzeri_SLG510A3-8_3072,1315
Pseudomonas_stutzeri_TS44,1256
Pseudomonas_stutzeri_XLDN-R,1312
Pseudomonas_syringae_CC1557,1339
Pseudomonas_syringae_CC1559,1351
Pseudomonas_syringae_CC1583,1335
Pseudomonas_syringae_isolate_inb918_11494,1398
Pseudomonas_syringae_pv._actinidiae_ICMP_20586,1368
Pseudomonas_syringae_Riq4,1384
Pseudomonas_taeanensis_MS-3_427,1306
Pseudomonas_taiwanensis_DSM_21245,1347
Pseudomonas_toyotomiensis_DSM_26169_7329,1357
Pseudomonas_vancouverensis_Dha-51_11578,1401
Pseudomonas_veronii_1YdBTEX2,1383
Pseudomonas_veronii_R4_3092,1402
Pseudomonas_veronii_VI4T1,1451
Pseudomonas_versuta_L10.10,1348
Pseudomonas_viridiflava_CC1582,1370
Pseudomonas_vranovensis_DSM_16006,1346
