Genes,Trait
5753,Acuatic
4575,Acuatic
5489,Acuatic
6258,Acuatic
5761,Acuatic
5216,Acuatic
5662,Acuatic
5002,Acuatic
5885,Acuatic
5608,Acuatic
6229,Acuatic
5843,Acuatic
5840,Acuatic
6615,Acuatic
5850,Acuatic
5628,Acuatic
5853,Acuatic
5794,Acuatic
5228,Acuatic
5885,Acuatic
6428,Acuatic
5808,Acuatic
5599,Acuatic
5223,Acuatic
4999,Acuatic
6068,Acuatic
5793,Acuatic
5000,Acuatic
5597,Acuatic
6231,Acuatic
6477,Acuatic
5000,Acuatic
5613,Acuatic
5809,Acuatic
5810,Acuatic
5807,Acuatic
5695,Acuatic
5698,Acuatic
6253,Acuatic
5888,Acuatic
5885,Acuatic
5894,Acuatic
5889,Acuatic
5889,Acuatic
5881,Acuatic
5890,Acuatic
5891,Acuatic
5884,Acuatic
5892,Acuatic
6256,Acuatic
6258,Acuatic
5884,Acuatic
5885,Acuatic
5876,Acuatic
5890,Acuatic
5885,Acuatic
6235,Acuatic
5798,Acuatic
6257,Acuatic
6114,Acuatic
5991,Acuatic
6480,Acuatic
5601,Acuatic
5765,Acuatic
5880,Acuatic
6682,Acuatic
6684,Acuatic
6680,Acuatic
6674,Acuatic
6693,Acuatic
6694,Acuatic
6693,Acuatic
6694,Acuatic
6693,Acuatic
6689,Acuatic
6702,Acuatic
6251,Acuatic
6654,Acuatic
6483,Acuatic
5890,Acuatic
5886,Acuatic
5221,Acuatic
6228,Acuatic
5884,Acuatic
6469,Acuatic
5877,Acuatic
6066,Acuatic
5869,Acuatic
5525,Acuatic
5602,Acuatic
5875,Acuatic
6408,Acuatic
5857,Acuatic
6232,Acuatic
6233,Acuatic
6262,Acuatic
6748,Acuatic
6077,Acuatic
6480,Acuatic
5871,Acuatic
6068,Acuatic
6478,Acuatic
6468,Acuatic
6659,Acuatic
6476,Acuatic
6481,Acuatic
6483,Acuatic
5875,Acuatic
5000,Acuatic
5991,Acuatic
5992,Acuatic
5990,Acuatic
5788,Acuatic
5846,Acuatic
5734,Acuatic
4808,Acuatic
5882,Acuatic
6056,Acuatic
5336,Acuatic
6043,Acuatic
5557,Acuatic
5560,Acuatic
5885,Acuatic
6052,Acuatic
6562,Acuatic
5982,Acuatic
6755,Acuatic
6477,Acuatic
5222,Acuatic
6252,Acuatic
6748,Acuatic
6756,Acuatic
5002,Acuatic
6258,Acuatic
6637,Acuatic
6752,Acuatic
6802,Acuatic
6758,Acuatic
6759,Acuatic
5228,Acuatic
5817,Acuatic
6550,Acuatic
6559,Acuatic
6254,Acuatic
6325,Acuatic
4230,Acuatic
4618,Acuatic
3971,Acuatic
2868,Acuatic
4333,Acuatic
5896,Acuatic
5902,Acuatic
4674,Acuatic
4078,Acuatic
4068,Acuatic
4350,Acuatic
4167,Acuatic
4616,Acuatic
4099,Acuatic
4442,Acuatic
4572,Acuatic
4238,Acuatic
4305,Acuatic
4168,Acuatic
5270,Acuatic
5155,Acuatic
5152,Acuatic
5370,Acuatic
5309,Acuatic
5198,Acuatic
5070,Acuatic
5578,Acuatic
5438,Acuatic
5393,Acuatic
5204,Acuatic
6649,Acuatic
6220,Acuatic
6218,Acuatic
5147,Acuatic
4719,Acuatic
6002,Animal
4202,Animal
6780,Animal
6022,Animal
5890,Animal
3464,Animal
5318,Animal
5242,Animal
6170,Animal
3463,Animal
5152,Animal
6248,Animal
6079,Animal
5088,Animal
5259,Animal
5811,Animal
4835,Animal
4897,Animal
4830,Animal
4991,Animal
4963,Animal
5176,Animal
5083,Animal
3969,Animal
6558,Animal
5715,Animal
5722,Animal
5702,Animal
6548,Animal
6021,Animal
6320,Animal
6487,Animal
5904,Animal
6947,Animal
6635,Animal
6496,Animal
5928,Animal
5922,Animal
5934,Animal
6550,Animal
6210,Animal
6021,Animal
6392,Animal
6335,Animal
5779,Animal
6955,Animal
5741,Animal
6072,Animal
6313,Animal
5914,Animal
5911,Animal
6258,Animal
5827,Animal
5821,Animal
5764,Animal
6020,Animal
5794,Animal
6523,Animal
5562,Animal
6048,Animal
6053,Animal
6282,Animal
6251,Animal
5759,Animal
5938,Animal
5634,Animal
5707,Animal
5799,Animal
5645,Animal
5311,Animal
6218,Animal
5729,Animal
5962,Animal
5774,Animal
5555,Animal
5737,Animal
5730,Animal
5748,Animal
5752,Animal
5999,Animal
5690,Animal
6200,Animal
6163,Animal
6336,Animal
5882,Animal
6033,Animal
5804,Animal
6171,Animal
5887,Animal
6328,Animal
6337,Animal
5704,Animal
6194,Animal
6136,Animal
6534,Animal
6598,Animal
6281,Animal
6106,Animal
6131,Animal
6072,Animal
5911,Animal
6377,Animal
6382,Animal
6157,Animal
6318,Animal
5781,Animal
5830,Animal
6379,Animal
5878,Animal
6316,Animal
6092,Animal
6337,Animal
5774,Animal
5790,Animal
5721,Animal
6099,Animal
6308,Animal
6272,Animal
5800,Animal
6303,Animal
6014,Animal
5706,Animal
5705,Animal
5732,Animal
5729,Animal
5837,Animal
5677,Animal
5891,Animal
6256,Animal
6242,Animal
6436,Animal
6430,Animal
6687,Animal
5651,Animal
6212,Animal
6391,Animal
5975,Animal
5668,Animal
5759,Animal
6439,Animal
6341,Animal
6300,Animal
6516,Animal
6471,Animal
6320,Animal
6597,Animal
6493,Animal
5957,Animal
6171,Animal
5827,Animal
6232,Animal
6127,Animal
6311,Animal
6252,Animal
6247,Animal
6538,Animal
6018,Animal
5848,Animal
5882,Animal
5972,Animal
5801,Animal
6025,Animal
6250,Animal
6283,Animal
6285,Animal
5310,Animal
6078,Animal
6122,Animal
6565,Animal
6118,Animal
6134,Animal
6025,Animal
6342,Animal
6384,Animal
6458,Animal
6502,Animal
6378,Animal
6243,Animal
6474,Animal
5833,Animal
6444,Animal
5490,Animal
6050,Animal
5881,Animal
6257,Animal
5750,Animal
5762,Animal
6256,Animal
5670,Animal
6169,Animal
6382,Animal
6283,Animal
5660,Animal
6402,Animal
6357,Animal
6443,Animal
5899,Animal
6193,Animal
6202,Animal
6297,Animal
5714,Animal
6394,Animal
5798,Animal
6517,Animal
6394,Animal
5934,Animal
5921,Animal
5827,Animal
5962,Animal
6341,Animal
6113,Animal
5845,Animal
6008,Animal
5798,Animal
6405,Animal
6240,Animal
5762,Animal
5770,Animal
5798,Animal
5788,Animal
6492,Animal
6498,Animal
6495,Animal
5966,Animal
5971,Animal
6179,Animal
6123,Animal
5965,Animal
5807,Animal
6338,Animal
5765,Animal
6155,Animal
6259,Animal
6284,Animal
6352,Animal
5918,Animal
6112,Animal
6294,Animal
6144,Animal
6155,Animal
6590,Animal
5703,Animal
5738,Animal
5832,Animal
6570,Animal
6655,Animal
6672,Animal
5677,Animal
5675,Animal
5839,Animal
5873,Animal
5908,Animal
5678,Animal
6265,Animal
5993,Animal
5764,Animal
6031,Animal
6067,Animal
5591,Animal
5853,Animal
5978,Animal
5776,Animal
5844,Animal
5849,Animal
5726,Animal
6224,Animal
6228,Animal
5806,Animal
5938,Animal
5810,Animal
6458,Animal
6108,Animal
6104,Animal
6826,Animal
6085,Animal
6086,Animal
5692,Animal
6287,Animal
5824,Animal
5773,Animal
5763,Animal
5745,Animal
5706,Animal
5999,Animal
6199,Animal
6014,Animal
6129,Animal
6013,Animal
6135,Animal
6284,Animal
6080,Animal
5919,Animal
5772,Animal
5792,Animal
6091,Animal
5939,Animal
6128,Animal
6131,Animal
5675,Animal
5672,Animal
6352,Animal
6160,Animal
6153,Animal
5811,Animal
5732,Animal
6076,Animal
5940,Animal
5776,Animal
6343,Animal
5748,Animal
5772,Animal
5659,Animal
5626,Animal
5692,Animal
5756,Animal
6442,Animal
5855,Animal
5689,Animal
5653,Animal
5827,Animal
6034,Animal
5789,Animal
5889,Animal
5791,Animal
5982,Animal
6185,Animal
5959,Animal
5721,Animal
5743,Animal
6211,Animal
6236,Animal
6465,Animal
6467,Animal
6308,Animal
5737,Animal
5713,Animal
6101,Animal
5678,Animal
5696,Animal
5702,Animal
5737,Animal
6101,Animal
5669,Animal
5809,Animal
5937,Animal
5930,Animal
5902,Animal
5746,Animal
5993,Animal
6463,Animal
6532,Animal
6983,Animal
6509,Animal
6402,Animal
6457,Animal
6763,Animal
6430,Animal
6324,Animal
6190,Animal
6326,Animal
6121,Animal
6269,Animal
5741,Animal
5724,Animal
6209,Animal
6355,Animal
6234,Animal
6479,Animal
5778,Animal
6176,Animal
5889,Animal
6400,Animal
6109,Animal
5760,Animal
6536,Animal
6769,Animal
6125,Animal
5707,Animal
6421,Animal
6489,Animal
5997,Animal
6078,Animal
6143,Animal
6549,Animal
6653,Animal
6356,Animal
5755,Animal
6382,Animal
6403,Animal
6555,Animal
6486,Animal
6512,Animal
6570,Animal
6478,Animal
6365,Animal
6301,Animal
6298,Animal
6305,Animal
6075,Animal
6545,Animal
6292,Animal
6392,Animal
6797,Animal
6377,Animal
6462,Animal
6269,Animal
6719,Animal
5992,Animal
6425,Animal
5877,Animal
5882,Animal
6710,Animal
6049,Animal
6563,Animal
6270,Animal
6338,Animal
6182,Animal
6162,Animal
6105,Animal
5735,Animal
6296,Animal
6485,Animal
5800,Animal
5659,Animal
6343,Animal
6228,Animal
5900,Animal
5739,Animal
5882,Animal
6550,Animal
5894,Animal
6058,Animal
6261,Animal
5786,Animal
5920,Animal
5984,Animal
5913,Animal
6231,Animal
6359,Animal
6350,Animal
5725,Animal
6132,Animal
5752,Animal
5809,Animal
6116,Animal
6543,Animal
5713,Animal
6364,Animal
6405,Animal
5749,Animal
6434,Animal
6349,Animal
6213,Animal
5676,Animal
6298,Animal
6253,Animal
6063,Animal
6623,Animal
6164,Animal
5752,Animal
5900,Animal
6444,Animal
6313,Animal
6339,Animal
6435,Animal
5661,Animal
5833,Animal
6692,Animal
6524,Animal
5817,Animal
6062,Animal
5761,Animal
6311,Animal
5736,Animal
6389,Animal
6245,Animal
6295,Animal
5837,Animal
6219,Animal
6228,Animal
6018,Animal
6400,Animal
5842,Animal
6190,Animal
6134,Animal
5800,Animal
5915,Animal
6212,Animal
6072,Animal
5844,Animal
6704,Animal
5712,Animal
6086,Animal
6072,Animal
6193,Animal
6102,Animal
6433,Animal
6006,Animal
6077,Animal
5610,Animal
6372,Animal
6130,Animal
6293,Animal
6427,Animal
6671,Animal
6927,Animal
5886,Animal
6583,Animal
5811,Animal
6241,Animal
6198,Animal
6333,Animal
6474,Animal
6325,Animal
5886,Animal
6602,Animal
5823,Animal
6745,Animal
5902,Animal
5796,Animal
6471,Animal
5814,Animal
6910,Animal
6609,Animal
5700,Animal
6218,Animal
6285,Animal
5920,Animal
5770,Animal
6046,Animal
6222,Animal
5956,Animal
6083,Animal
6512,Animal
6292,Animal
6373,Animal
6265,Animal
6241,Animal
6608,Animal
5635,Animal
6173,Animal
6016,Animal
5994,Animal
6301,Animal
6568,Animal
5822,Animal
6330,Animal
6318,Animal
6036,Animal
6133,Animal
6174,Animal
5850,Animal
5892,Animal
6362,Animal
6307,Animal
6222,Animal
5710,Animal
6419,Animal
5946,Animal
6290,Animal
6365,Animal
6156,Animal
5729,Animal
6453,Animal
6325,Animal
6588,Animal
5951,Animal
6527,Animal
6173,Animal
6541,Animal
6146,Animal
5657,Animal
6226,Animal
6519,Animal
6129,Animal
5863,Animal
6326,Animal
6338,Animal
5583,Animal
5769,Animal
6385,Animal
6220,Animal
6046,Animal
6030,Animal
5918,Animal
6429,Animal
5845,Animal
5634,Animal
6079,Animal
6805,Animal
6124,Animal
6334,Animal
5673,Animal
6219,Animal
5421,Animal
5775,Animal
5436,Animal
5750,Animal
6539,Animal
6306,Animal
6324,Animal
6144,Animal
6629,Animal
6512,Animal
6630,Animal
5629,Animal
5855,Animal
5897,Animal
6579,Animal
5718,Animal
5712,Animal
5720,Animal
5723,Animal
5709,Animal
5993,Animal
5655,Animal
5900,Animal
6355,Animal
6086,Animal
6140,Animal
6019,Animal
5762,Animal
5839,Animal
6578,Animal
6592,Animal
5833,Animal
6580,Animal
5685,Animal
5948,Animal
6144,Animal
6421,Animal
6164,Animal
6332,Animal
6527,Animal
6125,Animal
5795,Animal
5793,Animal
6324,Animal
6824,Animal
6269,Animal
6288,Animal
6718,Animal
6421,Animal
7111,Animal
6813,Animal
6244,Animal
5667,Animal
6108,Animal
6395,Animal
6113,Animal
6116,Animal
6531,Animal
5795,Animal
6049,Animal
6587,Animal
6593,Animal
5979,Animal
5962,Animal
5911,Animal
6405,Animal
6060,Animal
6218,Animal
5912,Animal
6236,Animal
6400,Animal
5736,Animal
5723,Animal
6318,Animal
6133,Animal
6189,Animal
6191,Animal
6173,Animal
6174,Animal
6365,Animal
6459,Animal
6434,Animal
6378,Animal
6556,Animal
6544,Animal
6535,Animal
6084,Animal
6304,Animal
6695,Animal
6266,Animal
5632,Animal
5786,Animal
6492,Animal
6164,Animal
5661,Animal
5735,Animal
5946,Animal
6074,Animal
5946,Animal
5699,Animal
5816,Animal
5761,Animal
5992,Animal
6232,Animal
6211,Animal
6205,Animal
5941,Animal
5951,Animal
5965,Animal
5964,Animal
5954,Animal
5947,Animal
5974,Animal
5949,Animal
5955,Animal
5949,Animal
5961,Animal
5944,Animal
5946,Animal
5952,Animal
5945,Animal
5947,Animal
5942,Animal
5946,Animal
5949,Animal
5995,Animal
6048,Animal
6030,Animal
6514,Animal
6192,Animal
6345,Animal
6163,Animal
5971,Animal
5974,Animal
5904,Animal
5949,Animal
5985,Animal
5986,Animal
5938,Animal
5697,Animal
5923,Animal
5994,Animal
5977,Animal
5963,Animal
6205,Animal
5777,Animal
5713,Animal
6779,Animal
5920,Animal
5767,Animal
5804,Animal
6130,Animal
5877,Animal
6733,Animal
6738,Animal
6698,Animal
6649,Animal
6736,Animal
6739,Animal
6732,Animal
6730,Animal
6733,Animal
6740,Animal
6662,Animal
6601,Animal
6587,Animal
6473,Animal
6338,Animal
5771,Animal
6102,Animal
6162,Animal
6381,Animal
5662,Animal
5362,Animal
5951,Animal
5813,Animal
5841,Animal
5946,Animal
5693,Animal
6267,Animal
5771,Animal
6241,Animal
5725,Animal
5930,Animal
5707,Animal
5681,Animal
5738,Animal
5789,Animal
5797,Animal
6045,Animal
5783,Animal
6482,Animal
6553,Animal
6489,Animal
6138,Animal
6293,Animal
5910,Animal
5813,Animal
5817,Animal
5854,Animal
5869,Animal
5897,Animal
6281,Animal
5924,Animal
6608,Animal
6230,Animal
5689,Animal
5731,Animal
6598,Animal
6207,Animal
5755,Animal
5742,Animal
6341,Animal
6148,Animal
5861,Animal
6285,Animal
6164,Animal
5737,Animal
6048,Animal
5805,Animal
5925,Animal
5789,Animal
5811,Animal
5735,Animal
6047,Animal
5695,Animal
6032,Animal
6066,Animal
6029,Animal
6029,Animal
6070,Animal
6079,Animal
6065,Animal
6426,Animal
6105,Animal
6192,Animal
6267,Animal
6589,Animal
6271,Animal
6359,Animal
6066,Animal
5898,Animal
6512,Animal
5790,Animal
6245,Animal
6244,Animal
5855,Animal
6459,Animal
6607,Animal
5731,Animal
6210,Animal
5710,Animal
6805,Animal
6705,Animal
6158,Animal
6218,Animal
6557,Animal
6376,Animal
6081,Animal
6379,Animal
5745,Animal
6319,Animal
6145,Animal
6134,Animal
6505,Animal
6619,Animal
6611,Animal
6609,Animal
5771,Animal
6303,Animal
6289,Animal
6611,Animal
6645,Animal
6321,Animal
5700,Animal
6708,Animal
6055,Animal
6269,Animal
6222,Animal
5668,Animal
5792,Animal
6730,Animal
6264,Animal
6256,Animal
5810,Animal
6392,Animal
6622,Animal
6035,Animal
5685,Animal
6727,Animal
5585,Animal
6271,Animal
6195,Animal
5837,Animal
5951,Animal
6233,Animal
5842,Animal
6266,Animal
6001,Animal
5953,Animal
5872,Animal
5931,Animal
5823,Animal
5715,Animal
6237,Animal
5980,Animal
6446,Animal
6158,Animal
5780,Animal
6418,Animal
5941,Animal
6153,Animal
6040,Animal
6391,Animal
6247,Animal
6063,Animal
6217,Animal
6440,Animal
6204,Animal
6856,Animal
5833,Animal
6285,Animal
6258,Animal
5981,Animal
5846,Animal
6264,Animal
6306,Animal
5820,Animal
6133,Animal
5942,Animal
6028,Animal
6164,Animal
5790,Animal
6380,Animal
6482,Animal
6390,Animal
6665,Animal
6197,Animal
6217,Animal
6203,Animal
6188,Animal
6145,Animal
6368,Animal
5941,Animal
6396,Animal
6209,Animal
5832,Animal
5842,Animal
6165,Animal
6212,Animal
5821,Animal
5914,Animal
5742,Animal
5804,Animal
5857,Animal
5863,Animal
5785,Animal
6210,Animal
5942,Animal
5949,Animal
5753,Animal
5746,Animal
5750,Animal
5735,Animal
6029,Animal
5943,Animal
6029,Animal
5948,Animal
5792,Animal
5757,Animal
6043,Animal
6037,Animal
5942,Animal
6112,Animal
6106,Animal
5794,Animal
6207,Animal
6067,Animal
6076,Animal
6073,Animal
6169,Animal
6075,Animal
5947,Animal
5879,Animal
5934,Animal
5934,Animal
5954,Animal
5931,Animal
5900,Animal
5869,Animal
5889,Animal
5869,Animal
5882,Animal
5866,Animal
5880,Animal
5885,Animal
5884,Animal
5884,Animal
5880,Animal
5870,Animal
5868,Animal
5885,Animal
5890,Animal
5888,Animal
5903,Animal
5899,Animal
5878,Animal
5887,Animal
5894,Animal
5891,Animal
5927,Animal
5902,Animal
5946,Animal
5944,Animal
5924,Animal
5887,Animal
5877,Animal
5887,Animal
5888,Animal
5892,Animal
5897,Animal
5900,Animal
5892,Animal
5896,Animal
5890,Animal
5869,Animal
5883,Animal
5883,Animal
5871,Animal
5875,Animal
5883,Animal
5889,Animal
5886,Animal
5878,Animal
5892,Animal
5872,Animal
5871,Animal
5895,Animal
5888,Animal
5889,Animal
5888,Animal
5875,Animal
5874,Animal
5879,Animal
5880,Animal
5894,Animal
5885,Animal
5876,Animal
5858,Animal
5896,Animal
5880,Animal
5878,Animal
5886,Animal
5883,Animal
5845,Animal
5886,Animal
5885,Animal
5870,Animal
5879,Animal
5880,Animal
5899,Animal
5874,Animal
5891,Animal
5933,Animal
6026,Animal
5912,Animal
6344,Animal
6222,Animal
5671,Animal
5795,Animal
5502,Animal
5857,Animal
6288,Animal
6375,Animal
6057,Animal
6151,Animal
6161,Animal
6379,Animal
6437,Animal
6166,Animal
6317,Animal
6319,Animal
6262,Animal
6278,Animal
6301,Animal
6264,Animal
6299,Animal
6274,Animal
6426,Animal
6161,Animal
5977,Animal
5974,Animal
6161,Animal
6122,Animal
6023,Animal
5790,Animal
6223,Animal
6326,Animal
6156,Animal
5762,Animal
5809,Animal
6425,Animal
6680,Animal
6393,Animal
6578,Animal
6478,Animal
6394,Animal
6546,Animal
6148,Animal
6179,Animal
6832,Animal
6511,Animal
6406,Animal
6417,Animal
5836,Animal
6592,Animal
6328,Animal
6514,Animal
6457,Animal
6512,Animal
6545,Animal
6512,Animal
6369,Animal
6385,Animal
6488,Animal
6619,Animal
7434,Animal
6392,Animal
6488,Animal
6630,Animal
6314,Animal
6319,Animal
6551,Animal
6424,Animal
6328,Animal
6392,Animal
6680,Animal
6337,Animal
6607,Animal
6397,Animal
6034,Animal
6078,Animal
6089,Animal
5910,Animal
5883,Animal
5885,Animal
6175,Animal
6153,Animal
6233,Animal
5770,Animal
5708,Animal
5682,Animal
5916,Animal
5928,Animal
5967,Animal
6626,Animal
6469,Animal
6392,Animal
6471,Animal
6292,Animal
6093,Animal
6103,Animal
6108,Animal
6101,Animal
6105,Animal
6073,Animal
5985,Animal
6106,Animal
6082,Animal
6094,Animal
6094,Animal
6130,Animal
6078,Animal
6081,Animal
6073,Animal
6075,Animal
6101,Animal
6113,Animal
6107,Animal
6087,Animal
6085,Animal
6078,Animal
6324,Animal
6302,Animal
6462,Animal
6340,Animal
5958,Animal
5941,Animal
6256,Animal
6044,Animal
6097,Animal
6607,Animal
5828,Animal
5798,Animal
5840,Animal
5843,Animal
6382,Animal
6130,Animal
6679,Animal
6523,Animal
6772,Animal
5765,Animal
6239,Animal
5835,Animal
5840,Animal
5846,Animal
5791,Animal
6520,Animal
6384,Animal
7056,Animal
5847,Animal
5813,Animal
6215,Animal
6142,Animal
6265,Animal
6243,Animal
5854,Animal
5776,Animal
6410,Animal
5547,Animal
5690,Animal
6159,Animal
6536,Animal
6974,Animal
6395,Animal
6486,Animal
6554,Animal
6298,Animal
6501,Animal
5858,Animal
5823,Animal
6225,Animal
6398,Animal
6540,Animal
6385,Animal
5954,Animal
5999,Animal
5591,Animal
5826,Animal
5802,Animal
5801,Animal
5849,Animal
6399,Animal
6538,Animal
6227,Animal
6396,Animal
6362,Animal
5462,Animal
5512,Animal
5837,Animal
6100,Animal
4400,Animal
4324,Animal
4398,Animal
4401,Animal
4398,Animal
4400,Animal
4461,Animal
4467,Animal
4978,Animal
4410,Animal
5784,Animal
5675,Animal
4317,Animal
4196,Animal
6214,Animal
5790,Animal
5955,Animal
5915,Animal
5400,Animal
5351,Animal
5897,Animal
5322,Animal
5737,Animal
5730,Animal
4787,Animal
5920,Animal
5475,Animal
6024,Animal
5992,Animal
5705,Animal
5544,Animal
5459,Animal
5083,Animal
5422,Animal
5378,Animal
5327,Animal
5389,Animal
5322,Animal
5415,Animal
5878,Animal
4712,Animal
6818,Animal
4667,Animal
4753,Animal
4232,Animal
6047,Animal
4893,Animal
5434,Animal
5686,Animal
5038,Animal
6082,Animal
5711,Animal
6096,Animal
6107,Animal
5688,Animal
5732,Animal
6172,Animal
5844,Animal
5823,Animal
5529,Animal
5538,Animal
5787,Animal
6265,Animal
6067,Animal
5092,Animal
5611,Animal
5170,Animal
