,Mammalia
Pseudomonas_sp._M1,0
Pseudomonas_sp._MPBC4-3,0
Pseudomonas_sp._MPBD4-3,0
Pseudomonas_sp._MPR-ANB1,0
Pseudomonas_sp._MPR-AND1A,0
Pseudomonas_sp._MPR-AND1B,0
Pseudomonas_sp._MPR-E5,0
Pseudomonas_sp._MPR-LB3,0
Pseudomonas_sp._MPR-LB5,0
Pseudomonas_sp._MPR-R1B,0
Pseudomonas_sp._MPR-R2A2,0
Pseudomonas_sp._MPR-R2A3,0
Pseudomonas_sp._MPR-R2A4,0
Pseudomonas_sp._MPR-R2A5,0
Pseudomonas_sp._MPR-R2A6,0
Pseudomonas_sp._MPR-R2A7,0
Pseudomonas_sp._MPR-R3A,0
Pseudomonas_sp._MPR-R3B,0
Pseudomonas_sp._MPR-R5A,0
Pseudomonas_sp._MPR-R5B,0
Pseudomonas_sp._MPR-TSA4,0
Pseudomonas_sp._PAMC_25886,0
Pseudomonas_sp._R2A2,0
Pseudomonas_sp._SAT88,0
Pseudomonas_sp._SP133,0
Pseudomonas_sp._SYD-2,0
Pseudomonas_sp._TAA207,0
Pseudomonas_sp._YL-MPn5-2015,0
Pseudomonas_sp._YL-MPn6-2015,0
Pseudomonas_stutzeri_273,0
Pseudomonas_stutzeri_4C29_5849,0
Pseudomonas_stutzeri_AK6,0
Pseudomonas_stutzeri_AN10_CCUG_29243,0
Pseudomonas_stutzeri_ATCC_14405___CCUG_16156_332,0
Pseudomonas_stutzeri_BAL361,0
Pseudomonas_stutzeri_BOW-2,0
Pseudomonas_stutzeri_CCUG_36651_6822,0
Pseudomonas_stutzeri_HI00D01,0
Pseudomonas_stutzeri_KC_6692,0
Pseudomonas_stutzeri_ST27MN3_7171,0
Pseudomonas_stutzeri_ZoBell_632_ATCC_14405,0
Pseudomonas_syringae_CC1416,0
Pseudomonas_syringae_CC1417,0
Pseudomonas_syringae_CC1458,0
Pseudomonas_syringae_CC1524,0
Pseudomonas_syringae_CC1543,0
Pseudomonas_syringae_CC1544,0
Pseudomonas_syringae_R1079_7297,0
Pseudomonas_syringae_UB246,0
Pseudomonas_syringae_UB303,0
Pseudomonas_syringae_USA007,0
Pseudomonas_syringae_USA011,0
Pseudomonas_veronii_A-6-5_11562,0
Pseudomonas_veronii_DSM_11331,0
Pseudomonas_veronii_SHC-8-1_11563,0
Pseudomonas_vranovensis_15D11_9445,0
Pseudomonas_zhaodongensis_SST2_11423,0
Pseudomonas_chlororaphis_CD_5136,0
Pseudomonas_sp_IC_126_9430,0
Pseudomonas_aeruginosa_DZ-B1_6106,0
Pseudomonas_aeruginosa_ICB10P_6499,0
Pseudomonas_aeruginosa_LiA145_2005_10156,0
Pseudomonas_flexibilis_JCM_14085,0
Pseudomonas_fluorescens_BWKM6_5903,0
Pseudomonas_putida_DZ-C18_6395,0
Pseudomonas_putida_DZ-C20_6505,0
Pseudomonas_tuomuerensis_JCM_14085_3091,0
Pseudomonas_anguilliseptica_DSM_12111,0
Pseudomonas_chlororaphis_subsp_piscium_DSM_21509_7525,0
Pseudomonas_fluorescens_ML11A_5063,0
Pseudomonas_mendocina_ZWU0006,0
Pseudomonas_mosselii_Gil3_4049,0
Pseudomonas_plecoglossicida_DJ-1_5949,0
Pseudomonas_plecoglossicida_DSM_15088,0
Pseudomonas_plecoglossicida_NB2011,0
Pseudomonas_plecoglossicida_NBRC_103162,0
Pseudomonas_plecoglossicida_NZBD9_6434,0
Pseudomonas_plecoglossicida_XSDHY-P_6178,0
Pseudomonas_sp_DrBHI1_5802,0
Pseudomonas_sp_SNU_WT1_7571,0
Pseudomonas_xanthomarina_DSM_18231,0
Pseudomonas_agarici_NCPPB_2289,0
Pseudomonas_fluorescens_BBc6R8,0
Pseudomonas_fluorescens_NZ007,0
Pseudomonas_fluorescens_NZ052,0
Pseudomonas_fluorescens_P5A_5066,0
Pseudomonas_fulva_SB1,0
Pseudomonas_gingeri_NCPPB_3146,0
Pseudomonas_palleroniana_MAB3,0
Pseudomonas_sp_NS1_6814,0
Pseudomonas_sp._NS1,0
Pseudomonas_tolaasii_2192T_5531,0
Pseudomonas_tolaasii_PMS117,0
Pseudomonas_aeruginosa_00041437_6471,0
Pseudomonas_aeruginosa_001-5A_10078,0
Pseudomonas_aeruginosa_001-5B_10054,0
Pseudomonas_aeruginosa_001-6_10053,0
Pseudomonas_aeruginosa_010-4_10048,0
Pseudomonas_aeruginosa_014-2A_10072,0
Pseudomonas_aeruginosa_020MIC_10043,0
Pseudomonas_aeruginosa_0C2E,0
Pseudomonas_aeruginosa_1046_PAER_2859,0
Pseudomonas_aeruginosa_105777,0
Pseudomonas_aeruginosa_105819,0
Pseudomonas_aeruginosa_105857,0
Pseudomonas_aeruginosa_1079_PAER_2864,0
Pseudomonas_aeruginosa_1086_PAER_2865,0
Pseudomonas_aeruginosa_1090_10259,0
Pseudomonas_aeruginosa_110238627_10857,0
Pseudomonas_aeruginosa_128S180412BSL_PA2_11082,0
Pseudomonas_aeruginosa_12939_6590,0
Pseudomonas_aeruginosa_130_7339,0
Pseudomonas_aeruginosa_130_PAER_2862,0
